Fx;Fy;Fz;Mx;My;Mz;Type
-7973;-915;32756;-12319;-88208;-14260;ULS
-7973;-869;37512;-15655;-110294;-14260;ULS
-7973;-840;35283;-6851;-100154;-14260;ULS
-9795;-1241;35202;-22714;-91582;-17519;ULS
-11303;-1241;36580;-16178;-68341;-17519;ULS
-7973;-1027;37105;-18887;-109484;-14260;ULS
-7261;-840;23880;-6806;-64025;-14260;ULS
-8920;-1241;23799;-22669;-54891;-17519;ULS
-10427;-1241;22382;-15777;-30135;-17519;ULS
-7261;-1027;26108;-18659;-74166;-14260;ULS
-7973;-869;35036;-17048;-106871;-14260;ULS
-7973;-840;32119;-5748;-93459;-14260;ULS
-7973;-1027;32037;-23199;-93297;-14260;ULS
-9200;-1154;32555;-16473;-56591;-14260;ULS
-7973;-1027;34629;-20280;-106061;-14260;ULS
-7261;-840;25107;-4176;-68845;-14260;ULS
-7929;-1113;24903;-25034;-64827;-15572;ULS
-9167;-1239;22382;-16672;-26014;-15572;ULS
-7261;-1027;27657;-20079;-81528;-14260;ULS
-7973;-913;36383;-12288;-97888;-14260;ULS
-7973;-862;41610;-15954;-122159;-14260;ULS
-7973;-831;39160;-6280;-111016;-14260;ULS
-10764;-1363;39071;-24328;-97956;-19251;ULS
-12420;-1363;40585;-17146;-72416;-19251;ULS
-7973;-1037;41162;-19507;-121269;-14260;ULS
-7261;-831;24145;-6210;-65287;-14260;ULS
-9802;-1363;24055;-24258;-51366;-19251;ULS
-11458;-1363;22499;-17799;-39278;-19251;ULS
-7261;-1037;26593;-19236;-76430;-14260;ULS
-7973;-862;38889;-17485;-118397;-14260;ULS
-7973;-831;35683;-5068;-103658;-14260;ULS
-7973;-1037;35593;-24245;-103480;-14260;ULS
-9225;-1199;36162;-17187;-61807;-14260;ULS
-7973;-1037;38441;-21037;-117507;-14260;ULS
-7261;-831;25492;-3320;-70583;-14260;ULS
-8713;-1223;25269;-26858;-62284;-17112;ULS
-10061;-1362;22161;-18428;-31106;-17112;ULS
-7261;-1037;28295;-20796;-84520;-14260;ULS
-11385;-1147;28210;-14295;-21115;-17519;ULS
-7457;-934;31369;-12871;-99790;-14260;ULS
-11385;-1147;22564;-14250;-3060;-17519;ULS
-7457;-934;25723;-12826;-81735;-14260;ULS
-10399;-1020;24174;-13417;-10094;-15572;ULS
-7235;-934;27982;-12844;-96909;-14260;ULS
-10399;-1020;21901;-13399;-2825;-15572;ULS
-7235;-934;25708;-12826;-89640;-14260;ULS
-12511;-1261;31819;-15076;-22064;-19251;ULS
-7406;-934;34368;-12895;-111214;-14260;ULS
-12511;-1261;23171;-15007;5591;-19251;ULS
-7406;-934;25720;-12826;-83559;-14260;ULS
-11427;-1120;27384;-14112;-9953;-17112;ULS
-7162;-934;30645;-12865;-108049;-14260;ULS
-11427;-1120;22442;-14072;5849;-17112;ULS
-7162;-934;25704;-12826;-92246;-14260;SLS
-9387;-934;21431;-12826;-15041;-14260;SLS
-7433;-934;25721;-12826;-82594;-14260;SLS
-8955;-934;21403;-12826;-30484;-14260;SLS
-7865;-934;25750;-12826;-67151;-14260;SLS
-7973;-886;30517;-15905;-91511;-14260;SLS
-7973;-865;28380;-7627;-81685;-14260;SLS
-7973;-1002;28320;-20412;-81566;-14260;SLS
-7603;-958;26354;-12784;-61669;-14260;SLS
-7973;-1002;30516;-18140;-91511;-14260;SLS
-7261;-958;22786;-10168;-50821;-14260;SLS
-7261;-894;23106;-17491;-60496;-14260;SLS
-8477;-958;21770;-12784;-32723;-14260;SLS
-7261;-1002;25932;-18140;-73437;-14260;SLS
-7973;-914;25778;-11699;-69699;-14260;SLS_QP
-7261;-953;21175;-13193;-51269;-14260;SLS_QP
