,Nr,Type,Angle,x,y,z,N,L,redu,Acti
0,0,1,180,-5.4,-4.4,0,4,30,1,1
1,1,1,180,-5.4,-2.4000000000000004,0,4,30,1,1
2,2,1,180,-5.4,0.0,0,4,30,1,1
3,3,1,180,-5.4,2.4000000000000004,0,4,30,1,1
4,4,1,180,-5.4,4.4,0,4,30,1,1
10,10,1,180,-1.4000000000000004,-4.4,0,4,30,1,1
12,12,1,270,-1.4000000000000004,0.0,0,4,30,1,1
14,14,1,0,-1.4000000000000004,4.4,0,4,30,1,1
15,15,1,180,0.5999999999999996,-4.4,0,4,30,1,1
16,16,1,0,0.5999999999999996,-2.4000000000000004,0,4,30,1,1
20,20,1,180,3.4000000000000004,-4.4,0,4,30,1,1
21,21,1,180,3.4000000000000004,-2.4000000000000004,0,4,30,1,1
22,22,1,180,3.4000000000000004,0.0,0,4,30,1,1
23,23,1,180,3.4000000000000004,2.4000000000000004,0,4,30,1,1
25,25,1,180,5.4,-4.4,0,4,30,1,1
26,26,1,0,5.4,-2.4000000000000004,0,4,30,1,1
27,27,1,180,5.4,0.0,0,4,30,1,1
28,28,1,180,5.4,2.4000000000000004,0,4,30,1,1
29,29,1,180,5.4,4.4,0,4,30,1,1
30,30,1,0,7.4,-4.4,0,4,30,1,1
31,31,1,0,7.4,-2.4000000000000004,0,4,30,1,1
33,33,1,180,7.4,2.4000000000000004,0,4,30,1,1
34,34,1,0,7.4,4.4,0,4,30,1,1
35,35,1,180,9.4,-4.4,0,4,30,1,1
37,37,1,0,9.4,0.0,0,4,30,1,1
38,38,1,180,9.4,2.4000000000000004,0,4,30,1,1
39,39,1,180,9.4,4.4,0,4,30,1,1
